STR_NR;AverageAnualTFlow
5510;229688.48
5519;240448.4
5520;87402.45455
5521;393392.3333
5522;310496.75
5523;93127.66667
5524;268843.2857
5525;171552.9333
5527;364288
5528;93198
5529;38739.5
5530;90242.63636
5531;98501.36364
5532;363009.25
5540;345795.8485
5541;50645.30769
5543;194494.8696
5544;183351.7857
5545;202679.8571
5546;255238.2857
5550;369538.8333
5551;137032.1579
5552;44396.75
5553;252600
5554;193609.7
5555;139662.7333
5556;68616.54545
5557;93898
5558;90924
5560;74511.58333
5561;111260
5563;91723
5566;68936.66667
5569;64515.5
5580;275127
5581;153396.9167
5600;177519.4194
5601;43403.44444
5603;270854.9091
5604;143557
5610;273087.5
5611;155625.6667
5612;108327.8333
5614;333444.5
5616;233405.25
5620;54371.5
5621;31807
5622;82337.71429
5630;58624.75
5632;53725
5633;47404
5634;53800
5700;83521
5702;66207.14286
5703;68738.5
5704;61651
5705;59221
5706;70378
5707;58853.5
5710;82497
5720;59969
5723;66315.75
5725;35470.5
5730;76121
5733;79392
5734;65217
5740;99330.33333
5800;55785.5
5812;71628.5
5820;31061
5821;31061
5830;57083.66667
5831;48456.33333
5832;79845
5833;46738
5840;68393
5845;67339.4
5850;118251.766
5851;78482.08333
5860;65207.75
5861;80271.33333
5864;31609
5865;38066
5900;114359.814
5902;89350.65385
5903;76934.93939
5904;75863.2
5907;153460.8462
5910;118971.3056
5911;216582
5912;99006
5913;104484.5
5914;90933
5916;66667
5919;101442.1364
5922;102838.2
5924;85580.66667
5925;70963
5926;50973
5933;179898
5934;84457.5
5940;69098
5941;100550
5942;83408.23077
5943;80449.72727
5944;66573
5950;107765.2857
5951;67461.71429
5952;119736
5960;73878.5
5961;52977
5962;74466.45455
5963;90236.58333
5964;72779
5965;73878.5
5970;147044.4118
5971;103130.9
5972;177975.7778
6002;189454.4444
6003;378867
6004;191474.5
6005;66275.66667
6006;185844.1163
6007;184315.3784
6008;158454.3
6009;65316.75
6010;52647.5
6011;172130.5714
6012;119931.6
6013;105976
6018;254455.6667
6020;158228.4464
6021;231399
6023;270086
6024;227650.3846
6025;177561.0714
6030;150021.973
6032;184090.0909
6033;102602
6034;243583
6035;164340.3077
6036;159730.3636
6037;74807.42857
6039;94117.25
6042;60807
6045;186546.5
6050;32035
6051;53335
6052;48822
6053;73186.0625
6055;63934.5
6062;135889.5
6065;70483
6066;55428.66667
6067;91394.85714
6068;49076.14286
6070;178250
6071;327300.3333
6072;211546.8421
6074;122777
6075;106880
6076;107467
6078;181802.1316
6079;50240.16667
6080;138263.1429
6081;135525.9423
6082;97487.75
6083;88920
6084;70904
6085;101292
6087;52403.82353
6088;136821.5581
6089;108743
6090;66768
6091;76440.5
6092;52647.5
6093;48438
6096;47681
6097;66836
6098;50807
6099;48772
6100;124636.6126
6101;66773
6103;61294.25
6104;52956.75
6105;56737.4
6106;71300
6107;63307.25806
6108;64858
6109;251435.5385
6110;70740.90385
6111;45181.5
6112;39038
6113;71380
6114;35317
6115;58201.375
6116;37230.5
6117;44614
6118;94254.34043
6119;40671.54545
6120;44304.25
6121;38029
6122;49023.75
6123;44078.2
6124;37416.2
6126;66441.44118
6127;55590.54545
6129;54360.85714
6130;39274.5
6131;53766
6132;64242.03333
6133;49941.91667
6134;129092.6667
6135;56428.81818
6136;70113.33333
6138;72678.8
6139;157673.3333
6140;174554.9286
6141;268562.5
6142;116652.2632
6143;142331.5714
6144;137837.75
6145;213121.2
6146;133701.5
6147;149063.8571
6148;126110.5
6149;129119
6150;88834
6151;111734
6152;277359.0556
6153;140095.7123
6155;55124.16667
6156;56991.5
6159;54285
6160;130350
6164;187851
6170;158817.3269
6171;120857.8667
6172;108118
6177;84660.25
6178;46970
6179;124837.6667
6182;78663
6183;54632.64286
6184;139441.3333
6185;69054.91026
6192;31760
6193;37953
6196;39131.6
6198;36883
6200;68771.25
6201;36534
6202;63271.2
6203;46714.4
6204;36534
6205;60032.71429
6207;44934.57895
6212;78181.85
6214;36947
6216;76792
6217;37503.5
6228;40220
6239;119752.1778
6240;109784.5333
6241;168515.6
6243;93068
6244;75455.25
6246;134660.5
6247;110295.3333
6248;39517.85714
6249;61730.83333
6250;32150
6251;62366.75
6252;45844.5
6253;45503.35
6254;53805
6255;73996.5
6256;36746
6257;72896.75
6258;54074.73973
6259;47043.77778
6264;74886
6265;47291.75
6266;34725
6267;41607.66667
6268;45883.75
6269;42306
6270;41249
6272;40199.6
6273;67743
6274;53331
6275;62175.72727
6276;44184.71429
6291;84424.5
6292;50232.8
6296;53696.4
6298;45105.72727
6299;43337.66667
6300;56205.28571
6301;52863
6302;52234.22222
6303;41937
6305;41261.65517
6306;76736.5
6307;55971.15385
6309;63175.125
6310;52529
6311;49456.25
6321;47686
6322;72088
6324;31165
6325;67623.35294
6327;30724
6328;38651
6340;59943.97778
6343;66143.13158
6344;54841.14286
6345;57960.6129
6346;89991.625
6347;73989.375
6348;43588
6349;88181.75
6350;92209.7
6351;72845.5
6352;66539.57143
6353;42054
6354;58826.4
6355;37700.4
6356;40486.33333
6357;48948
6360;58878.33333
6361;66373.2
6362;52010.52273
6363;72238.88095
6365;88708.66667
6366;91087
6367;64645
6369;88343.58333
6370;96307.33333
6371;35552.33333
6375;62543.5
6376;69564.33333
6377;92252.58333
6378;76139.75
6379;86402.33333
6380;88959
6382;54547.57143
6383;53059.71429
6385;79336.16667
6386;75845.85714
6387;39297.25
6388;128316.875
6389;32851.5
6392;63623
6396;147375.2
6397;64126.66667
